CustomerID,Name,Email,PhoneNumber,Address
1,John Doe,johndoe@example.com,010-1234-5678,123 Seoul St
2,Jane Smith,janesmith@example.com,010-2345-6789,456 Busan St
3,Michael Brown,michaelbrown@example.com,010-3456-7890,789 Daegu St
4,Emily Davis,emilydavis@example.com,010-4567-8901,101 Incheon St
5,Daniel Wilson,danielwilson@example.com,010-5678-9012,202 Daejeon St
6,Amanda Johnson,amandajohnson@example.com,010-6789-0123,303 Gwangju St
7,David Lee,davidlee@example.com,010-7890-1234,404 Suwon St
8,Sarah Kim,sarahkim@example.com,010-8901-2345,505 Ulsan St
9,Chris Park,chrispark@example.com,010-9012-3456,606 Jeju St
10,Jessica Choi,jessicachoi@example.com,010-0123-4567,707 Pohang St
